experiment,method,delta_ratio,trial,hausdorff,status,predicted_num_chgpts,estimated_changepoints,true_changepoints
M1,WERM,1.0,0,0.575,ok,2,"11,25","80,140"
M1,WERM,1.0,1,0.395,ok,2,"1,131","80,140"
M1,WERM,1.0,2,0.355,ok,2,"9,119","80,140"
M1,WERM,1.0,3,0.365,ok,2,"7,105","80,140"
M1,WERM,1.0,4,0.585,ok,2,"11,23","80,140"
M1,WERM,1.0,5,0.395,ok,2,"1,62","80,140"
M1,WERM,1.0,6,0.44,ok,2,"11,52","80,140"
M1,WERM,1.0,7,0.355,ok,2,"9,198","80,140"
M1,WERM,1.0,8,0.375,ok,2,"5,95","80,140"
M1,WERM,1.0,9,0.35,ok,2,"10,108","80,140"
M1,WERM,1.0,10,0.395,ok,2,"2,61","80,140"
M1,WERM,1.0,11,0.355,ok,2,"9,85","80,140"
M1,WERM,1.0,12,0.445,ok,2,"11,51","80,140"
M1,WERM,1.0,13,0.345,ok,2,"11,77","80,140"
M1,WERM,1.0,14,0.415,ok,2,"10,57","80,140"
M1,WERM,1.0,15,0.58,ok,2,"11,24","80,140"
M1,WERM,1.0,16,0.35,ok,2,"10,130","80,140"
M1,WERM,1.0,17,0.36,ok,2,"8,71","80,140"
M1,WERM,1.0,18,0.625,ok,2,"5,15","80,140"
M1,WERM,1.0,19,0.345,ok,2,"11,106","80,140"
M1,WERM,1.0,20,0.345,ok,2,"11,195","80,140"
M1,WERM,1.0,21,0.375,ok,2,"5,106","80,140"
M1,WERM,1.0,22,0.36,ok,2,"8,95","80,140"
M1,WERM,1.0,23,0.38,ok,2,"4,75","80,140"
M1,WERM,1.0,24,0.355,ok,2,"9,155","80,140"
M1,WERM,1.0,25,0.35,ok,2,"10,123","80,140"
M1,WERM,1.0,26,0.39,ok,2,"2,120","80,140"
M1,WERM,1.0,27,0.395,ok,2,"1,122","80,140"
M1,WERM,1.0,28,0.355,ok,2,"9,75","80,140"
M1,WERM,1.0,29,0.35,ok,2,"10,166","80,140"
M1,WERM,2.0,0,0.105,ok,2,"158,238","160,280"
M1,WERM,2.0,1,0.08,ok,2,"192,252","160,280"
M1,WERM,2.0,2,0.08,ok,2,"177,248","160,280"
M1,WERM,2.0,3,0.0825,ok,2,"147,247","160,280"
M1,WERM,2.0,4,0.1275,ok,2,"165,229","160,280"
M1,WERM,2.0,5,0.0975,ok,2,"156,241","160,280"
M1,WERM,2.0,6,0.08,ok,2,"154,248","160,280"
M1,WERM,2.0,7,0.085,ok,2,"164,246","160,280"
M1,WERM,2.0,8,0.125,ok,2,"201,230","160,280"
M1,WERM,2.0,9,0.165,ok,2,"166,214","160,280"
M1,WERM,2.0,10,0.08,ok,2,"165,248","160,280"
M1,WERM,2.0,11,0.1,ok,2,"183,240","160,280"
M1,WERM,2.0,12,0.0575,ok,2,"164,257","160,280"
M1,WERM,2.0,13,0.0325,ok,2,"169,267","160,280"
M1,WERM,2.0,14,0.09,ok,2,"132,244","160,280"
M1,WERM,2.0,15,0.1125,ok,2,"146,235","160,280"
M1,WERM,2.0,16,0.1625,ok,2,"172,215","160,280"
M1,WERM,2.0,17,0.1325,ok,2,"131,227","160,280"
M1,WERM,2.0,18,0.065,ok,2,"159,254","160,280"
M1,WERM,2.0,19,0.155,ok,2,"164,218","160,280"
M1,WERM,2.0,20,0.095,ok,2,"162,242","160,280"
M1,WERM,2.0,21,0.1125,ok,2,"165,235","160,280"
M1,WERM,2.0,22,0.1325,ok,2,"175,227","160,280"
M1,WERM,2.0,23,0.12,ok,2,"161,232","160,280"
M1,WERM,2.0,24,0.06,ok,2,"175,256","160,280"
M1,WERM,2.0,25,0.0925,ok,2,"148,243","160,280"
M1,WERM,2.0,26,0.175,ok,2,"178,210","160,280"
M1,WERM,2.0,27,0.14,ok,2,"159,224","160,280"
M1,WERM,2.0,28,0.055,ok,2,"172,258","160,280"
M1,WERM,2.0,29,0.0775,ok,2,"173,249","160,280"
M1,WERM,3.0,0,0.056666666666666664,ok,2,"236,386","240,420"
M1,WERM,3.0,1,0.09,ok,2,"217,366","240,420"
M1,WERM,3.0,2,0.06833333333333333,ok,2,"199,406","240,420"
M1,WERM,3.0,3,0.12,ok,2,"216,348","240,420"
M1,WERM,3.0,4,0.056666666666666664,ok,2,"258,386","240,420"
M1,WERM,3.0,5,0.023333333333333334,ok,2,"233,406","240,420"
M1,WERM,3.0,6,0.023333333333333334,ok,2,"226,414","240,420"
M1,WERM,3.0,7,0.08833333333333333,ok,2,"244,367","240,420"
M1,WERM,3.0,8,0.016666666666666666,ok,2,"238,410","240,420"
M1,WERM,3.0,9,0.12166666666666667,ok,2,"255,347","240,420"
M1,WERM,3.0,10,0.10833333333333334,ok,2,"226,355","240,420"
M1,WERM,3.0,11,0.13,ok,2,"215,342","240,420"
M1,WERM,3.0,12,0.016666666666666666,ok,2,"230,421","240,420"
M1,WERM,3.0,13,0.065,ok,2,"212,381","240,420"
M1,WERM,3.0,14,0.08666666666666667,ok,2,"229,368","240,420"
M1,WERM,3.0,15,0.06166666666666667,ok,2,"230,383","240,420"
M1,WERM,3.0,16,0.013333333333333334,ok,2,"232,412","240,420"
M1,WERM,3.0,17,0.09333333333333334,ok,2,"211,364","240,420"
M1,WERM,3.0,18,0.03833333333333333,ok,2,"233,397","240,420"
M1,WERM,3.0,19,0.06166666666666667,ok,2,"203,399","240,420"
M1,WERM,3.0,20,0.06166666666666667,ok,2,"203,403","240,420"
M1,WERM,3.0,21,0.03833333333333333,ok,2,"217,402","240,420"
M1,WERM,3.0,22,0.03833333333333333,ok,2,"239,397","240,420"
M1,WERM,3.0,23,0.10333333333333333,ok,2,"274,358","240,420"
M1,WERM,3.0,24,0.02666666666666667,ok,2,"224,432","240,420"
M1,WERM,3.0,25,0.03833333333333333,ok,2,"232,397","240,420"
M1,WERM,3.0,26,0.035,ok,2,"241,399","240,420"
M1,WERM,3.0,27,0.058333333333333334,ok,2,"205,386","240,420"
M1,WERM,3.0,28,0.045,ok,2,"213,413","240,420"
M1,WERM,3.0,29,0.08333333333333333,ok,2,"223,370","240,420"
M1,WERM,4.0,0,0.08125,ok,2,"314,495","320,560"
M1,WERM,4.0,1,0.02,ok,2,"328,544","320,560"
M1,WERM,4.0,2,0.005,ok,2,"318,564","320,560"
M1,WERM,4.0,3,0.04375,ok,2,"309,525","320,560"
M1,WERM,4.0,4,0.03125,ok,2,"295,548","320,560"
M1,WERM,4.0,5,0.00375,ok,2,"318,563","320,560"
M1,WERM,4.0,6,0.02875,ok,2,"305,537","320,560"
M1,WERM,4.0,7,0.055,ok,2,"276,568","320,560"
M1,WERM,4.0,8,0.04,ok,2,"320,528","320,560"
M1,WERM,4.0,9,0.0175,ok,2,"317,546","320,560"
M1,WERM,4.0,10,0.0775,ok,2,"258,520","320,560"
M1,WERM,4.0,11,0.0125,ok,2,"315,550","320,560"
M1,WERM,4.0,12,0.1525,ok,2,"274,438","320,560"
M1,WERM,4.0,13,0.01125,ok,2,"329,559","320,560"
M1,WERM,4.0,14,0.04625,ok,2,"313,523","320,560"
M1,WERM,4.0,15,0.01375,ok,2,"320,571","320,560"
M1,WERM,4.0,16,0.07375,ok,2,"261,531","320,560"
M1,WERM,4.0,17,0.1025,ok,2,"321,478","320,560"
M1,WERM,4.0,18,0.01875,ok,2,"329,575","320,560"
M1,WERM,4.0,19,0.05875,ok,2,"295,513","320,560"
M1,WERM,4.0,20,0.01375,ok,2,"309,568","320,560"
M1,WERM,4.0,21,0.03875,ok,2,"316,529","320,560"
M1,WERM,4.0,22,0.0675,ok,2,"305,506","320,560"
M1,WERM,4.0,23,0.035,ok,2,"292,541","320,560"
M1,WERM,4.0,24,0.035,ok,2,"292,557","320,560"
M1,WERM,4.0,25,0.02125,ok,2,"317,543","320,560"
M1,WERM,4.0,26,0.08125,ok,2,"321,495","320,560"
M1,WERM,4.0,27,0.065,ok,2,"295,508","320,560"
M1,WERM,4.0,28,0.0125,ok,2,"313,550","320,560"
M1,WERM,4.0,29,0.02625,ok,2,"299,551","320,560"
M1,WERM,5.0,0,0.01,ok,2,"410,699","400,700"
M1,WERM,5.0,1,0.006,ok,2,"394,699","400,700"
M1,WERM,5.0,2,0.017,ok,2,"383,697","400,700"
M1,WERM,5.0,3,0.063,ok,2,"407,637","400,700"
M1,WERM,5.0,4,0.008,ok,2,"406,692","400,700"
M1,WERM,5.0,5,0.044,ok,2,"356,688","400,700"
M1,WERM,5.0,6,0.022,ok,2,"378,722","400,700"
M1,WERM,5.0,7,0.02,ok,2,"411,680","400,700"
M1,WERM,5.0,8,0.021,ok,2,"379,704","400,700"
M1,WERM,5.0,9,0.004,ok,2,"396,701","400,700"
M1,WERM,5.0,10,0.034,ok,2,"366,693","400,700"
M1,WERM,5.0,11,0.003,ok,2,"397,703","400,700"
M1,WERM,5.0,12,0.007,ok,2,"393,697","400,700"
M1,WERM,5.0,13,0.035,ok,2,"393,665","400,700"
M1,WERM,5.0,14,0.027,ok,2,"373,689","400,700"
M1,WERM,5.0,15,0.056,ok,2,"344,684","400,700"
M1,WERM,5.0,16,0.109,ok,2,"394,591","400,700"
M1,WERM,5.0,17,0.047,ok,2,"402,653","400,700"
M1,WERM,5.0,18,0.005,ok,2,"403,695","400,700"
M1,WERM,5.0,19,0.006,ok,2,"406,697","400,700"
M1,WERM,5.0,20,0.049,ok,2,"393,651","400,700"
M1,WERM,5.0,21,0.046,ok,2,"390,654","400,700"
M1,WERM,5.0,22,0.01,ok,2,"390,694","400,700"
M1,WERM,5.0,23,0.017,ok,2,"384,717","400,700"
M1,WERM,5.0,24,0.048,ok,2,"393,652","400,700"
M1,WERM,5.0,25,0.008,ok,2,"408,698","400,700"
M1,WERM,5.0,26,0.008,ok,2,"408,700","400,700"
M1,WERM,5.0,27,0.044,ok,2,"356,700","400,700"
M1,WERM,5.0,28,0.024,ok,2,"376,686","400,700"
M1,WERM,5.0,29,0.068,ok,2,"332,658","400,700"
M1,WERM,6.0,0,0.03666666666666667,ok,2,"436,836","480,840"
M1,WERM,6.0,1,0.0008333333333333334,ok,2,"481,839","480,840"
M1,WERM,6.0,2,0.03333333333333333,ok,2,"484,800","480,840"
M1,WERM,6.0,3,0.049166666666666664,ok,2,"484,781","480,840"
M1,WERM,6.0,4,0.006666666666666667,ok,2,"472,837","480,840"
M1,WERM,6.0,5,0.025833333333333333,ok,2,"453,809","480,840"
M1,WERM,6.0,6,0.0033333333333333335,ok,2,"484,838","480,840"
M1,WERM,6.0,7,0.05333333333333334,ok,2,"477,776","480,840"
M1,WERM,6.0,8,0.03916666666666667,ok,2,"472,793","480,840"
M1,WERM,6.0,9,0.0025,ok,2,"479,837","480,840"
M1,WERM,6.0,10,0.050833333333333335,ok,2,"483,779","480,840"
M1,WERM,6.0,11,0.008333333333333333,ok,2,"478,830","480,840"
M1,WERM,6.0,12,0.009166666666666667,ok,2,"469,839","480,840"
M1,WERM,6.0,13,0.0475,ok,2,"464,783","480,840"
M1,WERM,6.0,14,0.013333333333333334,ok,2,"464,837","480,840"
M1,WERM,6.0,15,0.0016666666666666668,ok,2,"478,839","480,840"
M1,WERM,6.0,16,0.1175,ok,2,"443,699","480,840"
M1,WERM,6.0,17,0.009166666666666667,ok,2,"477,829","480,840"
M1,WERM,6.0,18,0.01,ok,2,"470,828","480,840"
M1,WERM,6.0,19,0.0275,ok,2,"447,833","480,840"
M1,WERM,6.0,20,0.035833333333333335,ok,2,"467,797","480,840"
M1,WERM,6.0,21,0.0016666666666666668,ok,2,"482,840","480,840"
M1,WERM,6.0,22,0.013333333333333334,ok,2,"476,856","480,840"
M1,WERM,6.0,23,0.051666666666666666,ok,2,"471,778","480,840"
M1,WERM,6.0,24,0.015,ok,2,"462,843","480,840"
M1,WERM,6.0,25,0.009166666666666667,ok,2,"469,840","480,840"
M1,WERM,6.0,26,0.005833333333333334,ok,2,"473,840","480,840"
M1,WERM,6.0,27,0.025,ok,2,"481,810","480,840"
M1,WERM,6.0,28,0.035,ok,2,"470,798","480,840"
M1,WERM,6.0,29,0.04,ok,2,"476,792","480,840"
M1,WERM,7.0,0,0.005714285714285714,ok,2,"552,977","560,979"
M1,WERM,7.0,1,0.012857142857142857,ok,2,"542,981","560,979"
M1,WERM,7.0,2,0.002142857142857143,ok,2,"557,981","560,979"
M1,WERM,7.0,3,0.008571428571428572,ok,2,"548,970","560,979"
M1,WERM,7.0,4,0.022857142857142857,ok,2,"528,980","560,979"
M1,WERM,7.0,5,0.0,ok,2,"560,979","560,979"
M1,WERM,7.0,6,0.008571428571428572,ok,2,"565,967","560,979"
M1,WERM,7.0,7,0.007857142857142858,ok,2,"560,990","560,979"
M1,WERM,7.0,8,0.03642857142857143,ok,2,"542,928","560,979"
M1,WERM,7.0,9,0.0035714285714285713,ok,2,"565,981","560,979"
M1,WERM,7.0,10,0.002142857142857143,ok,2,"557,981","560,979"
M1,WERM,7.0,11,0.017142857142857144,ok,2,"536,984","560,979"
M1,WERM,7.0,12,0.008571428571428572,ok,2,"560,991","560,979"
M1,WERM,7.0,13,0.025714285714285714,ok,2,"563,943","560,979"
M1,WERM,7.0,14,0.039285714285714285,ok,2,"555,924","560,979"
M1,WERM,7.0,15,0.007142857142857143,ok,2,"570,981","560,979"
M1,WERM,7.0,16,0.027857142857142858,ok,2,"521,947","560,979"
M1,WERM,7.0,17,0.004285714285714286,ok,2,"562,973","560,979"
M1,WERM,7.0,18,0.015714285714285715,ok,2,"551,957","560,979"
M1,WERM,7.0,19,0.007142857142857143,ok,2,"550,973","560,979"
M1,WERM,7.0,20,0.017142857142857144,ok,2,"536,955","560,979"
M1,WERM,7.0,21,0.005,ok,2,"567,980","560,979"
M1,WERM,7.0,22,0.002857142857142857,ok,2,"560,975","560,979"
M1,WERM,7.0,23,0.020714285714285713,ok,2,"564,950","560,979"
M1,WERM,7.0,24,0.05,ok,2,"558,909","560,979"
M1,WERM,7.0,25,0.017857142857142856,ok,2,"559,1004","560,979"
M1,WERM,7.0,26,0.027857142857142858,ok,2,"555,940","560,979"
M1,WERM,7.0,27,0.015,ok,2,"539,978","560,979"
M1,WERM,7.0,28,0.029285714285714286,ok,2,"555,938","560,979"
M1,WERM,7.0,29,0.0035714285714285713,ok,2,"565,975","560,979"
M1,WERM,8.0,0,0.003125,ok,2,"635,1118","640,1120"
M1,WERM,8.0,1,0.031875,ok,2,"633,1069","640,1120"
M1,WERM,8.0,2,0.0025,ok,2,"636,1118","640,1120"
M1,WERM,8.0,3,0.031875,ok,2,"639,1069","640,1120"
M1,WERM,8.0,4,0.015,ok,2,"616,1119","640,1120"
M1,WERM,8.0,5,0.071875,ok,2,"615,1005","640,1120"
M1,WERM,8.0,6,0.00625,ok,2,"630,1118","640,1120"
M1,WERM,8.0,7,0.00375,ok,2,"641,1114","640,1120"
M1,WERM,8.0,8,0.013125,ok,2,"630,1099","640,1120"
M1,WERM,8.0,9,0.00625,ok,2,"641,1110","640,1120"
M1,WERM,8.0,10,0.01625,ok,2,"615,1146","640,1120"
M1,WERM,8.0,11,0.03,ok,2,"650,1072","640,1120"
M1,WERM,8.0,12,0.006875,ok,2,"641,1109","640,1120"
M1,WERM,8.0,13,0.0175,ok,2,"642,1092","640,1120"
M1,WERM,8.0,14,0.03,ok,2,"688,1112","640,1120"
M1,WERM,8.0,15,0.03,ok,2,"634,1072","640,1120"
M1,WERM,8.0,16,0.010625,ok,2,"623,1116","640,1120"
M1,WERM,8.0,17,0.01375,ok,2,"647,1098","640,1120"
M1,WERM,8.0,18,0.02375,ok,2,"640,1082","640,1120"
M1,WERM,8.0,19,0.0325,ok,2,"643,1068","640,1120"
M1,WERM,8.0,20,0.018125,ok,2,"642,1091","640,1120"
M1,WERM,8.0,21,0.011875,ok,2,"641,1101","640,1120"
M1,WERM,8.0,22,0.01,ok,2,"643,1104","640,1120"
M1,WERM,8.0,23,0.01875,ok,2,"610,1120","640,1120"
M1,WERM,8.0,24,0.015,ok,2,"616,1123","640,1120"
